condition,score,accuracy,macro_f1,coverage,selective_risk,accepted_accuracy,aurc,accuracy_at_10pct,accuracy_at_20pct,accuracy_at_30pct,accuracy_at_50pct,dataset
clean,ensemble_confidence,0.93875,0.93880137395124,0.930625,0.0409670920080591,0.9590329079919409,0.013769164440751,1.0,0.99375,0.9916666666666668,0.98875,JNU
clean,ensemble_negative_entropy,0.93875,0.93880137395124,0.95875,0.0456323337679269,0.954367666232073,0.0136442590879461,1.0,0.99375,0.9916666666666668,0.98875,JNU
clean,ensemble_probability_margin,0.93875,0.93880137395124,0.921875,0.0386440677966101,0.96135593220339,0.0138822204055371,1.0,0.99375,0.99375,0.98875,JNU
clean,negative_mutual_information,0.93875,0.93880137395124,0.889375,0.0344342937456079,0.965565706254392,0.0126835008955973,1.0,0.996875,0.9958333333333332,0.99125,JNU
snr_6,ensemble_confidence,0.933125,0.933552977915282,0.920625,0.0366598778004073,0.9633401221995926,0.0136847116031754,1.0,0.99375,0.9916666666666668,0.99125,JNU
snr_6,ensemble_negative_entropy,0.933125,0.933552977915282,0.951875,0.0439921208141825,0.9560078791858174,0.0137410273943324,1.0,0.99375,0.9916666666666668,0.99125,JNU
snr_6,ensemble_probability_margin,0.933125,0.933552977915282,0.915,0.0348360655737705,0.9651639344262296,0.0137527491487972,0.99375,0.99375,0.99375,0.99125,JNU
snr_6,negative_mutual_information,0.933125,0.933552977915282,0.885,0.0409604519774011,0.9590395480225988,0.0170816260996066,1.0,0.99375,0.9916666666666668,0.9875,JNU
snr_0,ensemble_confidence,0.8575,0.8597554660348609,0.824375,0.0758150113722516,0.9241849886277484,0.0433735147828233,0.99375,0.98125,0.9770833333333332,0.97375,JNU
snr_0,ensemble_negative_entropy,0.8575,0.8597554660348609,0.850625,0.0903747244673034,0.9096252755326966,0.0446481705018523,0.9875,0.98125,0.9770833333333332,0.9725,JNU
snr_0,ensemble_probability_margin,0.8575,0.8597554660348609,0.81125,0.0724191063174114,0.9275808936825886,0.0435550297066041,0.99375,0.98125,0.9770833333333332,0.975,JNU
snr_0,negative_mutual_information,0.8575,0.8597554660348609,0.753125,0.0780082987551866,0.9219917012448132,0.0543008767099826,0.9875,0.96875,0.9708333333333332,0.95875,JNU
snr_-6,ensemble_confidence,0.531875,0.53123706462812,0.495,0.3674242424242424,0.6325757575757576,0.3678775354731516,0.7,0.66875,0.6604166666666667,0.6325,JNU
snr_-6,ensemble_negative_entropy,0.531875,0.53123706462812,0.48875,0.3618925831202045,0.6381074168797954,0.3650353660114771,0.7,0.68125,0.675,0.6375,JNU
snr_-6,ensemble_probability_margin,0.531875,0.53123706462812,0.498125,0.3801756587202007,0.6198243412797992,0.3722983113341943,0.7,0.6625,0.6520833333333333,0.61875,JNU
snr_-6,negative_mutual_information,0.531875,0.53123706462812,0.451875,0.3858921161825726,0.6141078838174274,0.3818372700996446,0.725,0.66875,0.65,0.6,JNU
mixed_snr,ensemble_confidence,0.800625,0.8037418098900917,0.785,0.1050955414012738,0.8949044585987261,0.0591892358127949,0.99375,0.9875,0.98125,0.9675,JNU
mixed_snr,ensemble_negative_entropy,0.800625,0.8037418098900917,0.815,0.1180981595092024,0.8819018404907976,0.0582873347367831,0.99375,0.9875,0.98125,0.9675,JNU
mixed_snr,ensemble_probability_margin,0.800625,0.8037418098900917,0.776875,0.1069991954947707,0.8930008045052292,0.0601933084857852,0.99375,0.9875,0.98125,0.96375,JNU
mixed_snr,negative_mutual_information,0.800625,0.8037418098900917,0.75875,0.1112026359143327,0.8887973640856672,0.0654797647306999,0.99375,0.990625,0.9833333333333332,0.95875,JNU
colored_-6,ensemble_confidence,0.365625,0.2790897272371263,0.901875,0.6382536382536382,0.3617463617463617,0.4106118055997991,0.95625,0.88125,0.7291666666666666,0.49375,JNU
colored_-6,ensemble_negative_entropy,0.365625,0.2790897272371263,0.995,0.6337939698492463,0.3662060301507537,0.4081354276075473,0.9625,0.884375,0.7291666666666666,0.495,JNU
